"developer","avg_score"
"Real Time Solution",5.0000000000000000
"Emerging Study",5.0000000000000000
"PRAADIS TECHNOLOGIES INC",5.0000000000000000
"LinkedIn",4.7703490000000000
"Learn Language - Super Chinese",4.7400000000000000
