"year","avg_rating","total_reviews"
2011,17874.0000000000000000,1918.0
2017,146595.000000000000,5805.0
2022,345.0000000000000000,15.0
2018,12432.2500000000000000,4059.0
2019,13413.125000000000,779.0
2016,178219.142857142857,21357.0
2010,459326.000000000000,15292.0
2015,239719.125000000000,33041.0
2013,3615596.250000000000,714483.0
2021,428.5000000000000000,36.0
2014,133786.750000000000,14506.0
2020,25732.166666666667,320.0
