"month","total_installs"
3,11100000.0
7,100110000.0
2,62626000.0
11,11715000.0
12,2050005.0
1,12215000.0
4,2370000.0
9,5000000.0
6,11120500.0
5,119165500.0
10,61150500.0
8,12811000.0
