"androidversion","avg_score","total_installs"
"5.1",2.1390400000000000,1060500.0
"4.1",2.6763371250000000,3305000.0
"4.2",0E-20,5005.0
"4.0",1.9107142500000000,200000.0
"7.0",4.3021445500000000,16100000.0
"8.0",3.5414848000000000,500000.0
"5.0",3.1741007425000000,216271500.0
"2.3.3",3.7741935000000000,10000.0
"4.4",4.4401255000000000,1660000.0
"6.0",2.5568231666666667,11221500.0
"Varies",4.4260619000000000,161100000.0
