"year","avg_score","total_installs"
2011,4.5247310000000000,1000000.0
2017,3.0098638818181818,64755000.0
2022,4.4821430000000000,15000.0
2018,4.3182861250000000,3100000.0
2019,2.3218056466666667,3225005.0
2016,3.8392412875000000,66700000.0
2010,3.9538593000000000,10000000.0
2015,4.1276534000000000,109010000.0
2013,4.4086170000000000,121000000.0
2021,2.5266233636363636,341500.0
2014,4.2840870000000000,21050000.0
2020,1.9723732083333333,11237000.0
